編號,銀行,信用卡,國內現金回饋,國外現金回饋,關鍵字,產品特色,限制,首刷禮,首刷優惠,手續費,年費,最低年收入,最低年齡,,,
52,花旗銀行,寰旅尊尚世界悠遊卡,0.00%,0.00%,"里程累積
旅遊優惠","不分海內外消費，單筆一般消費每$20累積1哩．持卡期間終身有效，無須擔心哩程過期
累積哩程可兌換五大洲逾60家航空公司機票含長榮、國泰、華航、新航等國人常搭乘的航空公司
全年４次機場接／送，全球龍騰出行貴賓室國內外不限次數使用","花旗哩程移轉至各航空公司的哩程效期依各航空公司哩程計畫規定
以上活動期間至2018/12/31","新戶首刷禮35000哩。每年續卡禮20000哩。
新戶須於核卡後60天內新增一般消費累積刷滿新臺幣50,000元(含)以上並繳交全額年費新臺幣20,000元，享刷卡禮35,000哩。第2年起繳年費後，可享續卡禮20,000哩。2018/1/6至2018/6/30。","<活動ㄧ>威秀購票 一卡獨秀: 持指定花旗信用卡到威秀影城看電影，享現場購票；週一至週四一般影片6折或3D電影/ IMAX電影8折；週五至週日與國定/連續假日購票85折。活動期間:即日起~2018/07/31
<活動二> 指定加油站自助加油最高享每公升降NT$1.5元。於全國加油站自助加油每週一降NT$1.5元/公升；週二～週日降NT$1.4/公升。人工加油天天降1.1元/公升。活動期間至2018/6/30。",1.50%,"正卡年費:NT20,000","$1,400,000",25,0.0000,https://pic.pimg.tw/sad987654321/1454319388-1478684460_n.jpg?v=1454319399,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwiaqcL1xOnbAhUIAogKHQyODlgQFggnMAA&url=https%3A%2F%2Fwww.citibank.com.tw%2Fsim%2Findex.htm&usg=AOvVaw2tuKjHVA52-Jdbd4nlMZ_u
53,花旗銀行,Citi Prestige,0.00%,0.00%,"國外刷卡優惠
旅遊優惠","國內單筆消費NT30 = 3點；國外單筆消費NT30 = 3.6點。透過「Citi Thank You Rewards點數兌換平台」，提供多家航空公司常客優惠計畫。
一年2次免費國際機場通關禮遇；一年8次免費國際機場接或送服務
正卡持卡人享全年無限次 全球超過900間貴賓室免費使用；正卡持卡人享每月至多2張台灣高鐵免費升等商務艙優惠",持台灣Citi Prestige信用卡正卡購買全額機票或支付團費80%以上 享一年2次免費國際機場通關禮遇及一年8次免費國際機場接或送服務,N/A,全球任何飯店第四晚免費住宿。刷台灣Citi Prestige 信用卡正卡於全球任何飯店，享第四晚免費之住宿禮遇。優惠時間：2018/01/01 – 2018/12/31,1.50%,"正卡年費:NT24,000","$1,400,000",25,0.0000,https://pic.pimg.tw/sad987654321/1454319388-1478684460_n.jpg?v=1454319399,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwiaqcL1xOnbAhUIAogKHQyODlgQFggnMAA&url=https%3A%2F%2Fwww.citibank.com.tw%2Fsim%2Findex.htm&usg=AOvVaw2tuKjHVA52-Jdbd4nlMZ_u
54,華南銀行,icash聯名卡,2.50%,0.00%,"網路購物
電子支付功能(悠遊卡、一卡通、iCash)
","網路消費享2.5%現金回饋
申辦ＳｎＹ帳戶優惠再加碼最高享1%現金回饋
一般消費紅利2倍回饋","網路消費之定義係指該筆刷卡金額須為一般消費且透過手機、電腦或平板以網際網路方式刷卡付款(限以本行系統判定為網路消費為準)，不包含電話、傳真及授權自動扣帳等交易方式。現金回饋上限NT250。
當期帳單已適用現金回饋之網路一般消費不再給予紅利點數回饋，僅超過當期帳單現金回饋上限之網路一般消費金額享NT$25回饋1點紅利。
新增一般消費(不含網路消費)達NT1千以上，可獲得2倍紅利回饋，每期帳單紅利回饋上限3,000點。","新卡友首刷禮第一級距：刷卡金200元
新卡友首刷禮第二級距，好禮2選1：(1) 德國BRITA FUN 酷樂壺1.5L (2) 晶工牌14吋風扇 (3) 鍋寶多功能料理鍋 (4) OPEN將20吋登機箱(限量350個)
新卡友首刷禮第三級距，好禮2選1：(1) AMERICA TIGER實用特色24吋行李箱 (2) oserio時尚體脂計
第一級距條件：新卡友於核卡日起60天內累積一般消費金額達到NT$2,000 ~ NT24,999，即享滿額禮。活動至2018/6/30。
第二級距條件：新卡友於核卡日起60天內累積一般消費金額達到NT$25,000 ~ NT49,999，即享滿額禮。活動至2018/6/30。
第三級距條件：新卡友於核卡日起60天內累積一般消費金額達到NT$50,000(含)以上，即享滿額禮。活動至2018/6/30。",N/A,1.50%,首年免年費,N/A,20,0.0250,http://www.public.tw/Editor/FCKeditor/image/00000050.jpg,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwic_-ODxenbAhWTFIgKHf4VBckQFggnMAA&url=http%3A%2F%2Fwww.hncb.com.tw%2F&usg=AOvVaw0AMy6NlQEvaY76aA5viQ9x
55,華南銀行,旅鑽個人商務御璽卡,1.20%,1.80%,"旅遊優惠
國外刷卡優惠
","當月新增一般消費，可享國內消費0.8%~1.2%
海外消費1.6%-1.8%之現金回饋
旅平險最高NT$2500萬/全年最多3次免費使用機場貴賓室",現金回饋之計算係以NT$50為一個回饋單位，每次折抵最低金額需滿NT$50，當現金回饋累積達NT$50或為NT$50的整數倍數時，將自動折抵次期信用卡新增消費款,"新卡友首刷禮第二級距，好禮2選1：(1) 德國BRITA FUN 酷樂壺1.5L (2) 晶工牌14吋風扇 (3) 鍋寶多功能料理鍋 (4) OPEN將20吋登機箱(限量350個)
新卡友首刷禮第三級距，好禮2選1：(1) AMERICA TIGER實用特色24吋行李箱 (2) oserio時尚體脂計
第二級距條件：新卡友於核卡日起60天內累積一般消費金額達到NT$25,000 ~ NT49,999，即享滿額禮。活動至2018/6/30。
第三級距條件：新卡友於核卡日起60天內累積一般消費金額達到NT$50,000(含)以上，即享滿額禮。活動至2018/6/30。","<活動ㄧ>指定稅費免手續費
<活動ㄧ>繳納汽車燃料稅使用費，免收稅款金額1%手續費；繳納汽機車使用牌照稅，免收稅款金額0.5%手續費；繳納房屋稅，免收稅款金額0.5%手續費；繳納地價稅，免收稅款金額0.5%手續費。至2018/12/31。",1.50%,"正卡年費:御璽卡NT$2400/ 首年免年費
免年費條件：自核卡日起，於首年內消費每滿NT$1,000，可扣抵次年年費NT$100，至全部年費扣抵完為止，往後年費收費標準依此類推","$500,000",20,0.0300,http://www.public.tw/Editor/FCKeditor/image/00000050.jpg,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwic_-ODxenbAhWTFIgKHf4VBckQFggnMAA&url=http%3A%2F%2Fwww.hncb.com.tw%2F&usg=AOvVaw0AMy6NlQEvaY76aA5viQ9x
56,華南銀行,超級現金回饋卡,1.00%,1.00%,N/A,新增一般消費皆享1%現金回饋，活動至2018/12/31,現金回饋將自動折抵次期帳單內之新增消費款，6個月內未折抵完將自動歸零,"<活動ㄧ>指定稅費免手續費
<活動ㄧ>繳納汽車燃料稅使用費，免收稅款金額1%手續費；繳納汽機車使用牌照稅，免收稅款金額0.5%手續費；繳納房屋稅，免收稅款金額0.5%手續費；繳納地價稅，免收稅款金額0.5%手續費。至2018/12/31。",N/A,1.50%,"首年免年費
正卡年費:鈦金卡NT$1800/免年費條件：年度累積金額達NT1.2萬 或 不限金額6次",N/A,20,0.0200,http://www.public.tw/Editor/FCKeditor/image/00000050.jpg,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwic_-ODxenbAhWTFIgKHf4VBckQFggnMAA&url=http%3A%2F%2Fwww.hncb.com.tw%2F&usg=AOvVaw0AMy6NlQEvaY76aA5viQ9x
57,華南銀行, LOVE晶緻悠遊聯名卡－酷愛黑卡,0.20%,0.20%,"加油停車
eTag","加油消費可享 5% -15%現金回饋
eTag網路信用卡儲值享10%現金回饋
汽車保養維修享 1.2%回饋","加油回饋不限加油站，消費NT5千～NT1萬5千享5％回饋，上限NT150；消費NT1萬5千～NT3萬享10%回饋，上限NT300;消費NT3萬以上，享15%回饋，上限NT300
2018/12/31前，當期帳單新增一般消費金額達5千元(不含eTag網路信用卡儲值金額)，當期帳單的eTag網路信用卡儲值金額可享10%現金回饋(當期回饋上限100元)
當期帳單以Love晶緻悠遊聯名卡（酷愛黑卡）於指定之國內保修通路保養與修護累積消費滿NT1,000(含)以上可獲得1.2%回饋(1%現金回饋+原0.2%紅利回饋，每期最高現金回饋上限NT$1,000 ，正附卡合併計算)。活動至2018/12/31。","新卡友首刷禮第一級距：刷卡金200元
新卡友首刷禮第二級距，好禮2選1：(1) 德國BRITA FUN 酷樂壺1.5L (2) 晶工牌14吋風扇 (3) 鍋寶多功能料理鍋 (4) OPEN將20吋登機箱(限量350個)
新卡友首刷禮第三級距，好禮2選1：(1) AMERICA TIGER實用特色24吋行李箱 (2) oserio時尚體脂計
第一級距條件：新卡友於核卡日起60天內累積一般消費金額達到NT$2,000 ~ NT24,999，即享滿額禮。活動至2018/6/30。
第二級距條件：新卡友於核卡日起60天內累積一般消費金額達到NT$25,000 ~ NT49,999，即享滿額禮。活動至2018/6/30。
第三級距條件：新卡友於核卡日起60天內累積一般消費金額達到NT$50,000(含)以上，即享滿額禮。活動至2018/6/30。","<活動ㄧ>加油消費，天天5% -15%現金回饋
<活動ㄧ>當期帳單新增一般消費金額達NT$5,000元以上（不含加油消費），當期帳單加油消費可享5%現金回饋，(回饋上限NT$150元)。NT$15,000以上（不含加油消費），當期帳單加油消費可享10%現金回饋 （當期回饋上限NT$300元）。NT$30,000以上（不含加油消費），當期帳單加油消費可享15%現金回饋 （當期回饋上限NT$500元）。至2018/12/31。",1.50%,"正卡年費:晶緻卡NT$1200 首年免年費
免年費條件：年刷3筆不限金額（包含悠遊自動加值）",N/A,20,0.0040,http://www.public.tw/Editor/FCKeditor/image/00000050.jpg,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwic_-ODxenbAhWTFIgKHf4VBckQFggnMAA&url=http%3A%2F%2Fwww.hncb.com.tw%2F&usg=AOvVaw0AMy6NlQEvaY76aA5viQ9x
58,華南銀行,櫃買贏家生活卡,0.20%,0.20%,"通路聯名
電影","一般消費享NT$25元一點之紅利點數，回饋無上限。櫃買企業品牌-享紅利5倍回饋
半年新增一般消費之現金回饋比率最高為5%
Visa御璽卡專屬優惠：平日指定影城享優惠價NT$215","櫃買企業品牌係指PChome購物、誠品生活、寶雅生活館、ezfly易飛網、臺灣高鐵、台灣大車隊等，名單詳見銀行官網
現金回饋門檻為消費NT3萬以下回饋0.2%;消費NT3~12萬回饋1.3%;消費NT12萬~20萬回饋2.5%;消費NT20萬以上回饋5%。每次現金回饋合計上限為NT$3,800
指定影城係指新北板橋秀泰影城、基隆秀泰影城、台北in89豪華數位影城、台北東南亞秀泰影城、台北喜滿客京華影城、台北喜滿客絕色影城、台北新光數位影城等，詳見銀行官網。","新卡友首刷禮第一級距：刷卡金200元
新卡友首刷禮第二級距，好禮2選1：(1) 德國BRITA FUN 酷樂壺1.5L (2) 晶工牌14吋風扇 (3) 鍋寶多功能料理鍋 (4) OPEN將20吋登機箱(限量350個)
新卡友首刷禮第三級距，好禮2選1：(1) AMERICA TIGER實用特色24吋行李箱 (2) oserio時尚體脂計
第一級距條件：新卡友於核卡日起60天內累積一般消費金額達到NT$2,000 ~ NT24,999，即享滿額禮。活動至2018/6/30。
第二級距條件：新卡友於核卡日起60天內累積一般消費金額達到NT$25,000 ~ NT49,999，即享滿額禮。活動至2018/6/30。
第三級距條件：新卡友於核卡日起60天內累積一般消費金額達到NT$50,000(含)以上，即享滿額禮。活動至2018/6/30。",N/A,1.50%,"正卡年費：御璽卡NT$1800 首年免年費
免年費條件：年內不限金額消費6筆或累積金額達12,000元，即免收該卡次年年費",N/A,20,0.0040,http://www.public.tw/Editor/FCKeditor/image/00000050.jpg,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwic_-ODxenbAhWTFIgKHf4VBckQFggnMAA&url=http%3A%2F%2Fwww.hncb.com.tw%2F&usg=AOvVaw0AMy6NlQEvaY76aA5viQ9x
59,華南銀行,LOVE晶緻悠遊聯名卡－寵愛紅卡,0.00%,0.00%,電影,"天天看電影於國賓、喜滿客、哈啦、新光、秀泰等影城享優惠。詳見銀行官網。
刷卡消費享6期/12期分期0利率
一般消費$25元享1點紅利點數，分期6期仍可享紅利點數，分期12期則不適用","刷卡消費分期需單筆刷卡金額達NT$6,000(含)以上","新卡友首刷禮第一級距：刷卡金200元
新卡友首刷禮第二級距，好禮2選1：(1) 德國BRITA FUN 酷樂壺1.5L (2) 晶工牌14吋風扇 (3) 鍋寶多功能料理鍋 (4) OPEN將20吋登機箱(限量350個)
新卡友首刷禮第三級距，好禮2選1：(1) AMERICA TIGER實用特色24吋行李箱 (2) oserio時尚體脂計
第一級距條件：新卡友於核卡日起60天內累積一般消費金額達到NT$2,000 ~ NT24,999，即享滿額禮。活動至2018/6/30。
第二級距條件：新卡友於核卡日起60天內累積一般消費金額達到NT$25,000 ~ NT49,999，即享滿額禮。活動至2018/6/30。
第三級距條件：新卡友於核卡日起60天內累積一般消費金額達到NT$50,000(含)以上，即享滿額禮。活動至2018/6/30。","<活動ㄧ>天天看電影享優惠
<活動ㄧ>出示當月簽單NT$599一張，，天天享國賓/喜滿客/哈拉影城電影雙人套票6折優惠。前月消費達NT$3,000，當月享新光影城（台中）、秀泰影城（基隆/花蓮/台東）網路預約購票買一送一優惠，每人每月限使用1次(3Ｄ影片不適用)。至2018/12/31。",1.50%,"正卡年費:晶緻卡NT$1200 首年免年費
免年費條件：年刷3筆不限金額（包含悠遊自動加值）",N/A,20,0.0000,http://www.public.tw/Editor/FCKeditor/image/00000050.jpg,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwic_-ODxenbAhWTFIgKHf4VBckQFggnMAA&url=http%3A%2F%2Fwww.hncb.com.tw%2F&usg=AOvVaw0AMy6NlQEvaY76aA5viQ9x
60,華南銀行,美饌紅利卡,0.00%,0.00%,"高鐵
加油停車
","刷卡消費每25元可累積1點紅利點數，達指定門檻最高5倍紅利回饋
國外交易/國內保險費交易/國內加油及高鐵交易享紅利點數3倍送","每期帳單額外回饋紅利點數上限1萬點，年度累積回饋上限5萬點。
紅利回饋門檻：消費NT1~5千回饋1.5倍;消費NT5千～4萬回饋2倍;消費NT4萬～7萬回饋3倍;消費NT7萬～10萬，回饋4倍; 消費NT10萬以上，回饋5倍","<活動一>當期帳單新增國外交易、國內保險、國內加油及高鐵交易享紅利點數最高5倍送
<活動一>刷卡消費每25元可累積1點紅利點數，當期帳單新增指定通路消費NT50,000以下，紅利點數3倍送(含原來1倍)；當期帳單新增國指定通路消費NT50,001(含)以上，紅利點數5倍送(含原來1倍)。每期帳單額外回饋紅利點數上限10,000點。至2018/12/31。","新卡友首刷禮第一級距：刷卡金200元
新卡友首刷禮第二級距，好禮2選1：(1) 德國BRITA FUN 酷樂壺1.5L (2) 晶工牌14吋風扇 (3) 鍋寶多功能料理鍋 (4) OPEN將20吋登機箱(限量350個)
新卡友首刷禮第三級距，好禮2選1：(1) AMERICA TIGER實用特色24吋行李箱 (2) oserio時尚體脂計
第一級距條件：新卡友於核卡日起60天內累積一般消費金額達到NT$2,000 ~ NT24,999，即享滿額禮。活動至2018/6/30。
第二級距條件：新卡友於核卡日起60天內累積一般消費金額達到NT$25,000 ~ NT49,999，即享滿額禮。活動至2018/6/30。
第三級距條件：新卡友於核卡日起60天內累積一般消費金額達到NT$50,000(含)以上，即享滿額禮。活動至2018/6/30。",1.50%,"正卡年費：御璽卡NT$1800 首年免年費
免年費條件：年度累積消費達1.2萬 或 不限金額6次",N/A,20,0.0000,http://www.public.tw/Editor/FCKeditor/image/00000050.jpg,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwic_-ODxenbAhWTFIgKHf4VBckQFggnMAA&url=http%3A%2F%2Fwww.hncb.com.tw%2F&usg=AOvVaw0AMy6NlQEvaY76aA5viQ9x
61,華南銀行,優活YOHO晶緻卡,0.00%,0.00%,N/A,"國外刷卡紅利三倍送、國內刷卡紅利二倍送
JCB日本機場貴賓室服務","持優活YOHO晶緻卡於國內新增一般消費達3,000元（含）以上可獲得2倍紅利回饋（含原1倍，額外回饋紅利點數，當期帳單之正附卡國內外消費回饋合併計算，當期回饋紅利點數上限6,000點)
以優活YOHO晶緻卡刷卡支付當次80%以上國外旅遊團費、國外機票，且金額達NT$20,000以上，可免費使用國際機場貴賓室服務乙次，一年限使用3次。","新卡友首刷禮第一級距：刷卡金200元
新卡友首刷禮第二級距，好禮2選1：(1) 德國BRITA FUN 酷樂壺1.5L (2) 晶工牌14吋風扇 (3) 鍋寶多功能料理鍋 (4) OPEN將20吋登機箱(限量350個)
新卡友首刷禮第三級距，好禮2選1：(1) AMERICA TIGER實用特色24吋行李箱 (2) oserio時尚體脂計
第一級距條件：新卡友於核卡日起60天內累積一般消費金額達到NT$2,000 ~ NT24,999，即享滿額禮。活動至2018/6/30。
第二級距條件：新卡友於核卡日起60天內累積一般消費金額達到NT$25,000 ~ NT49,999，即享滿額禮。活動至2018/6/30。
第三級距條件：新卡友於核卡日起60天內累積一般消費金額達到NT$50,000(含)以上，即享滿額禮。活動至2018/6/30。",N/A,1.50%,首年免年費,N/A,20,0.0000,http://www.public.tw/Editor/FCKeditor/image/00000050.jpg,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwic_-ODxenbAhWTFIgKHf4VBckQFggnMAA&url=http%3A%2F%2Fwww.hncb.com.tw%2F&usg=AOvVaw0AMy6NlQEvaY76aA5viQ9x
62,華南銀行,Scottish House 聯名卡,0.00%,0.00%,"通路聯名
","專屬購買Scottish House商品88折
優惠生日禮
紅利積點五倍大躍進","生日當月於 Scottish House 專櫃單筆刷卡消費滿8,000元（含）以上，即可憑身份證享有2,000元抵用優惠。
凡於 Scottish House 專櫃持Go Girl Card刷卡購物，馬上享有紅利五倍大躍進",N/A,N/A,1.50%,首年免年費,N/A,20,0.0000,http://www.public.tw/Editor/FCKeditor/image/00000050.jpg,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwic_-ODxenbAhWTFIgKHf4VBckQFggnMAA&url=http%3A%2F%2Fwww.hncb.com.tw%2F&usg=AOvVaw0AMy6NlQEvaY76aA5viQ9x
63,華南銀行,大甲媽祖認同卡,0.00%,0.00%,宗教,"ㄧ般消費NT25元/點紅利點數；指定七大通路消費，享紅利點數3倍送
指定七大通路係指，保險費交易、國外交易、加油交易、國內學費/補習費交易、指定交通交易、感應交易、自動加值，每期帳單額外回饋紅利點數上限6,000點",N/A,"新舊卡戶首刷禮：指定媽祖贈品
新卡友：核卡60天內新增一般消費三筆NT$888，免費贈送媽祖六件旅行組；既有卡友加辦：核卡60天內新增一般消費三筆NT$888，免費贈送媽祖四件旅行組。即日起至2018/6/30。","<活動一>大甲媽祖認同卡卡友可免費於大甲鎮瀾宮免費點光明燈一年優惠
<活動一> 每一年度(每年1月至12月)累積一般消費金額達固定金額(正卡NT$50,000以上、附卡NT$10,000以上)，次年均可享由華南銀行統一造冊登錄；正卡人符合代點光明燈資格後，額外累積每達2萬元，可增加指定代點光明燈1人次，每戶最多指定代點5人次(隔年1月底開放上網登錄指定代點名單)。每年1月1日~12月31日止。",1.50%,"正卡年費：御璽卡NT$1800 首年免年費
免年費條件：年內不限金額消費3筆或累積金額達12,000元，即免收該卡次年年費",N/A,20,0.0000,http://www.public.tw/Editor/FCKeditor/image/00000050.jpg,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwic_-ODxenbAhWTFIgKHf4VBckQFggnMAA&url=http%3A%2F%2Fwww.hncb.com.tw%2F&usg=AOvVaw0AMy6NlQEvaY76aA5viQ9x
64,華南銀行,icash聯名卡-美樂蒂款,0.00%,0.00%,電子支付功能(悠遊卡、一卡通、iCash),"一般消費25元得一點紅利，當起帳單滿1,000元享紅利2倍回饋。
網路消費享2.5%現金回饋
申辦ＳｎＹ帳戶優惠再加碼最高享1%現金回饋
首次自動加值贈30,000點OPENPOINT，自動加值贈1,500點OPENPOINT。活動至2018/12/31。
單筆3000元以上3期分期0利率。活動至2018/12/31。",另有雙星仙子款卡面可申辦,"新卡友首刷好禮2選1：「三麗鷗環保餐具組」或「三麗鷗環保購物袋」
申辦三麗鷗可愛明星LED信用卡之新卡友核卡60天內，累計一般消費達NT$3,000，贈送「三麗鷗環保餐具組」或「三麗鷗環保購物袋」好禮2選1。活動至2018/6/30。",N/A,1.50%,"正卡年費：NT$1,200 首年免年費
免年費條件：年內不限金額消費3筆，即免收該卡次年年費",N/A,20,0.0000,http://www.public.tw/Editor/FCKeditor/image/00000050.jpg,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwic_-ODxenbAhWTFIgKHf4VBckQFggnMAA&url=http%3A%2F%2Fwww.hncb.com.tw%2F&usg=AOvVaw0AMy6NlQEvaY76aA5viQ9x
65,華南銀行,OPENPOINT超級點數聯名卡-Hello Kitty款,0.00%,0.00%,"電子支付功能(悠遊卡、一卡通、iCash)
通路聯名","國內一般消費每NT$1可累積2.5點OPENPOINT點數，國外一般消費每NT$1可累積5點OPENPOINT點數。
以下享OPENPOINT 10倍回饋快速集點。
7-ELEVEN天天華南日10倍回饋
icash自動加值享10 倍回饋
臺北/高雄捷運搭乘金額享10倍回饋
指定統一集團零售通路10倍回饋
基金扣繳享10倍回饋",活動至2018/12/31,"新卡友首刷好禮2選1：「三麗鷗環保餐具組」或「三麗鷗環保購物袋」
申辦三麗鷗可愛明星LED信用卡之新卡友核卡60天內，累計一般消費達NT$3,000，贈送「三麗鷗環保餐具組」或「三麗鷗環保購物袋」好禮2選1。活動至2018/6/30。",N/A,1.50%,"正卡年費：NT$1,200 首年免年費
免年費條件：年內不限金額消費3筆，即免收該卡次年年費",N/A,20,0.0000,http://www.public.tw/Editor/FCKeditor/image/00000050.jpg,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwic_-ODxenbAhWTFIgKHf4VBckQFggnMAA&url=http%3A%2F%2Fwww.hncb.com.tw%2F&usg=AOvVaw0AMy6NlQEvaY76aA5viQ9x
66,華南銀行,The ONE 尊榮無限卡,0.00%,0.00%,里程累積,"ㄧ般消費NT25/點;國外紅利三倍送
每3點紅利可兌換1哩亞洲萬里通哩程
機場接送NT380起",N/A,"新卡友首刷禮第二級距，好禮2選1：(1) 德國BRITA FUN 酷樂壺1.5L (2) 晶工牌14吋風扇 (3) 鍋寶多功能料理鍋 (4) OPEN將20吋登機箱(限量350個)
新卡友首刷禮第三級距，好禮2選1：(1) AMERICA TIGER實用特色24吋行李箱 (2) oserio時尚體脂計
第二級距條件：新卡友於核卡日起60天內累積一般消費金額達到NT$25,000 ~ NT49,999，即享滿額禮。活動至2018/6/30。
第三級距條件：新卡友於核卡日起60天內累積一般消費金額達到NT$50,000(含)以上，即享滿額禮。活動至2018/6/30。",N/A,1.50%,"正卡年費：無限卡NT$20000 首年免年費
免年費條件：一年之刷卡消費達NT30萬以上或為華南銀行財富管理客戶，其前一年於華南銀行投資之理財商品金額達NT300萬元以上","$2,000,000",20,0.0000,http://www.public.tw/Editor/FCKeditor/image/00000050.jpg,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwic_-ODxenbAhWTFIgKHf4VBckQFggnMAA&url=http%3A%2F%2Fwww.hncb.com.tw%2F&usg=AOvVaw0AMy6NlQEvaY76aA5viQ9x
67,華泰銀行,VISA旗艦卡,0.00%,0.00%,N/A,每20元消費累積1點紅利點數,N/A,N/A,N/A,1.50%,"年費
首年免年費",N/A,20,0.0000,https://www.icompare.tw/compare/content/loanimg/3824073824華泰優質菁英信貸..png,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwj34aK9xenbAhUVMN4KHYjKDTcQFggnMAA&url=https%3A%2F%2Fwww.hwataibank.com.tw%2F&usg=AOvVaw2XnSYm1BaBRLUYYbkI_i5N
68,滙豐銀行,中華航空聯名白金卡,0.00%,0.00%,里程累積,"ㄧ般消費NT30元/1哩 華夏哩程 ；於華航/華信網站刷卡購買華航、華信機票，另享額外25% 優惠哩程。
一年1次免費國際機場接或送；一年30天免費國際機場停車。
最高2,500萬公共運輸工具旅遊平安險及旅遊不便險。
中華航空機上免稅品享9折。","哩程累積每達500哩，銀行自動將哩程以每500哩為單位於下期帳單結帳日轉華夏會員帳戶
以滙豐(台灣)信用卡支付全額公共運輸交通工具費用，或參加旅行團時支付旅遊團費總額之80%(含公共運輸交通工具費用)以上，即享有高額旅行平安險及旅遊不便險。","新戶首刷好禮2選1：20吋十字紋天藍行李箱或華航哩程1,500哩
加碼好禮：華航哩程1,000哩
新戶線上完整3步驟申辦，享加碼贈NT$100刷卡金。
條件
活動期間內新戶申辦滙豐中華航空白金卡，於核卡30天內正卡累積消費達NT$3,000(含)以上，且繳交年費，即可獲得首刷好禮2選1。活動期間：2018/1/1~2018/6/30。","<活動一>華航全球航線95折
<活動二>滙豐信用卡聰明刷保費享加碼回饋300元7-11禮券
條件
<活動一>活動期間刷滙豐信用卡透過滙豐官網購票優惠入口購買中華航空機票，享購票不限艙等95折。至2018/12/31。
<活動二>以滙豐信用卡成功扣繳保費累積超過NT$45,000元(含)享額外7-11禮券回饋。活動期間2018/1/1至2018/12/31。",1.50%,"正卡年費 :NT$ 600
正卡年費:白金卡首年優惠NT$600/免年費條件：年度累積消費達NT$8萬 或 不限金額12次","$250,000",20,0.0000,https://q-fa.bstatic.com/xdata/images/xphoto/1236x412/34604175.jpg?k=6b4819825ec6fed42ff8d9af5e0271d349312e4368d835502db8eeb7e7fe9a7f&o=,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwjkjK_DxenbAhXQ62EKHTdZAGUQFggnMAA&url=http%3A%2F%2Fwww.hsbc.com.tw%2F&usg=AOvVaw14KwaiFbUMmCjOLK00FXfh
