編號,銀行,信用卡,國內現金回饋,國外現金回饋,關鍵字,產品特色,限制,首刷禮,首刷優惠,手續費,年費,最低年收入,最低年齡,,,
11,第一銀行,尊榮白金卡,0.00%,0.00%,"加油停車
通路聯名
網路購物","中興嘟嘟房停車優惠
指定通路紅利抵現金，每1000點即可折抵刷卡金50元","最近一期帳單新增一般消費金額達新台幣8,000元(含)以上，或最近兩期帳單新增一般消費達新台幣12,000元(含)以上，次月即可至配合中興嘟嘟房享有每日乙次停車優惠
指定通路:松青超市、丹堤咖啡、PChome線上購物、YAHOO奇摩購物中心等各個紅利折抵特店，以紅利點數折抵刷卡金",N/A,N/A,1.50%,首年免年費,N/A,20,0.0000,https://www.energypark.org.tw/_admin/_upload/topGoal/GoalCom/373/photo4/LOGO-C(FB).jpg,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwjJpbXWw-nbAhXUdt4KHW6mDx0QFggnMAA&url=https%3A%2F%2Fwww.firstbank.com.tw%2F&usg=AOvVaw0MLR2jOl_Cehc6E7w-aN4M
12,第一銀行,由你分期卡,0.00%,0.00%,N/A,"3期0利率0手續費、不限商店、 免來電申請
自動分期設定3期，前3期享0利率免分期利息；設定4~12期，享有最後3期0利率免分期利息。
一般消費刷卡20元享紅利點數1點","單筆刷卡消費金額滿新台幣1,000元(含)不限地點皆可申請分期。
轉帳代繳各項費用、學費、基金扣款、稅款、餘額代償、預借現金、循環信用 利息、退貨款之利息、違約金等各項手續費、費用及利息等，皆無法享有紅利點數回饋。",,,1.50%,首年免年費,N/A,20,0.0000,https://www.energypark.org.tw/_admin/_upload/topGoal/GoalCom/373/photo4/LOGO-C(FB).jpg,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwjJpbXWw-nbAhXUdt4KHW6mDx0QFggnMAA&url=https%3A%2F%2Fwww.firstbank.com.tw%2F&usg=AOvVaw0MLR2jOl_Cehc6E7w-aN4M
13,第一銀行,悠遊聯名卡,0.00%,0.00%,電影,"普卡一般消費享NT20/點，晶緻卡/白金卡NT15/點，累積之紅利點數可折抵悠遊卡自動加值
消費滿額 EZ訂 看電影半價優惠","於訂票前月一般消費每滿1,000元，當月可獲得以「半價購買EZ訂2D全票電影票1張」之權利，每卡每月2張。","新戶首刷好禮6選1：OPENPOINT150,000點/刷卡金300元/手持式車用吸塵器/Mukanami智慧健康體重管理秤/Neoflam不沾湯鍋組/伊瑪imarflex三明治機
條件：活動期間申辦指定信用卡正卡之新戶，於核卡45天內，一般消費滿3筆新臺幣777元（含）以上或累計消費滿新臺幣3,000元（含）以上，完成登錄即享好禮6選1。至2018/6/30。",N/A,1.50%,"正卡年費:普卡NT$300 首年免年費
免年費條件：年消費一次不限金額，即免次年年費。",N/A,20,0.0000,https://www.energypark.org.tw/_admin/_upload/topGoal/GoalCom/373/photo4/LOGO-C(FB).jpg,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwjJpbXWw-nbAhXUdt4KHW6mDx0QFggnMAA&url=https%3A%2F%2Fwww.firstbank.com.tw%2F&usg=AOvVaw0MLR2jOl_Cehc6E7w-aN4M
14,第一銀行,曼黛瑪璉聯名卡,0.00%,0.00%,通路聯名,"曼黛瑪璉或瑪登瑪朵全國百貨專櫃、專門店刷卡消費，獨享新品85折、特價商品95折購物優惠。
特店分期0利率：持曼黛瑪璉Body聯名卡至指定特約商店，享分期0利率，讓您購物零負擔。",N/A,N/A,N/A,1.50%,首年免年費,N/A,20,0.0000,https://www.energypark.org.tw/_admin/_upload/topGoal/GoalCom/373/photo4/LOGO-C(FB).jpg,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwjJpbXWw-nbAhXUdt4KHW6mDx0QFggnMAA&url=https%3A%2F%2Fwww.firstbank.com.tw%2F&usg=AOvVaw0MLR2jOl_Cehc6E7w-aN4M
15,第一銀行,速邁樂聯名卡,0.00%,0.00%,加油停車,"以聯名卡加汽油（不含柴油及自助加油），不限公升數，每公升可累積500點速邁樂點數。
一般消費（不含公用事業費、本行基金扣繳及代繳政府稅費、公立學校學費等）可享銀行紅利積點，白金卡15元回饋銀行紅利1點；普卡20元回饋銀行紅利1點",N/A,N/A,N/A,1.50%,首年免年費,N/A,20,0.0000,https://www.energypark.org.tw/_admin/_upload/topGoal/GoalCom/373/photo4/LOGO-C(FB).jpg,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwjJpbXWw-nbAhXUdt4KHW6mDx0QFggnMAA&url=https%3A%2F%2Fwww.firstbank.com.tw%2F&usg=AOvVaw0MLR2jOl_Cehc6E7w-aN4M
16,第一銀行,大同寶寶聯名卡,0.00%,0.00%,通路聯名,"獨享會員分期0利率
獨享大同3C會員價，不定時寄發專為卡友設計之專屬會員優惠",大同寶寶聯名卡卡友獨享大同3C消費3期~24期0利率優惠（分期商品詳情請洽門市，超特價與資訊商品除外）,N/A,N/A,1.50%,首年免年費,N/A,20,0.0000,https://www.energypark.org.tw/_admin/_upload/topGoal/GoalCom/373/photo4/LOGO-C(FB).jpg,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwjJpbXWw-nbAhXUdt4KHW6mDx0QFggnMAA&url=https%3A%2F%2Fwww.firstbank.com.tw%2F&usg=AOvVaw0MLR2jOl_Cehc6E7w-aN4M
17,第一銀行,資生堂SHISEIDO聯名卡,0.00%,0.00%,通路聯名,"新產品優先試用：免費試用春季及秋季新產品。
優先購買會員專屬商品、限量發售商品
20元可累積1點紅利",N/A,N/A,N/A,1.50%,首年免年費,N/A,20,0.0000,https://www.energypark.org.tw/_admin/_upload/topGoal/GoalCom/373/photo4/LOGO-C(FB).jpg,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwjJpbXWw-nbAhXUdt4KHW6mDx0QFggnMAA&url=https%3A%2F%2Fwww.firstbank.com.tw%2F&usg=AOvVaw0MLR2jOl_Cehc6E7w-aN4M
18,高雄銀行,高雄going鈦金卡,1.00%,0.00%,旅遊優惠,"現金回饋最高1%，回饋無上限

享3000萬旅遊平安險保障

30公里以內免費拖吊",N/A,N/A,N/A,1.50%,首年免年費,N/A,20,0.0100,https://yt3.ggpht.com/a-/ACSszfFhpzfac9B6xSz2D-3ZCMueRcZqH-8CzPgYug=s900-mo-c-c0xffffffff-rj-k-no,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwji4JX-w-nbAhWCIIgKHcnaAr0QFggnMAA&url=https%3A%2F%2Fwww.bok.com.tw%2F&usg=AOvVaw2uZNkRZnnMLkV3fGp9rMZS
19,國泰世華,享購鈦金卡,1.00%,2.50%,美食,"國內消費最高1%；海外消費現金回饋最高2.5%。
EZTABLE預訂餐廳獨享10% 現折；指定飯店/餐廳平日下午茶 第二人半價","國內刷卡消費享0.5%現金回饋，當期帳單之享購鈦金卡新增一般消費達NT$3,000~NT$7,999享額外加碼0.2%(即回饋0.7%)，達NT$8,000以上享額外加碼0.5%，即最高1%現金回饋。
2018/06/30前，完成登錄者享國外消費加碼至2.5%現金回饋(含原國外消費回饋1.7%) ，正附卡合併計算，每戶回饋上限NT$1000。","新戶好禮OPENPOINT 16萬點
2018/06/30前申辦申辦指定icash聯名卡正卡，並於核卡後30天內刷一般消費（單筆須滿NT$888）或icash自動加值，合計滿3筆，享新戶好禮OPENPOINT 16萬點",N/A,1.50%,"正卡年費:鈦金卡NT$1800 首年免年費
免年費條件：正附卡年度消費達NT$6萬 或 不限金額12次","$500,000",20,0.0350,https://c1.staticflickr.com/1/637/21484498143_083e431ace_b.jpg,https://www.cathaybk.com.tw/cathaybk/
20,國泰世華,台塑聯名卡,1.00%,0.00%,加油,"於台亞、福懋、西歐及其他標有動能精靈之加油站加油，享「降價+加油金折抵」雙重優惠。 人工加油：降價加上加油金回饋，汽油加油最高每公升降2元 ( 降價：1元/公升 + 加油金折抵：1元/公升)。 自助加油：降價加上加油金回饋，汽油加油最高每公升降2.2元( 降價：1.2元/公升 + 加油金折抵：1元/公升)。活動至2018/6/30
站外消費，可享0.5％加油金回饋(NT$200 ＝ 1元加油金)，指定通路最高享1%加油金回饋(NT$200 ＝ 2元加油金)．活動至2018/12/31
鈦商卡當月新增一般消費達NT$5,000，次月享中興嘟嘟房免費市區停車4次 ; 達NT$10,000再享4次，每次最多2小時。 活動至2018/12/31","享加油優惠須加滿1公升(含)以上且限加入單台車輛油箱。
站外ㄧ般消費NT$200 ＝ 1元加油金，於台塑生醫實體直營門市、長庚生技實體直營門市、台塑購物網、台塑網旅行社等指定通路才可享NT$200 ＝ 2元加油金回饋（相當於1%加油金回饋）
免費市區停車優惠限正卡持卡人持台塑聯名鈦商卡使用，每人每日限使用一次，每次最多2小時，當月符合免費停車資格者，限次月15號起一個月內使用完畢，未使用視同放棄權利，恕無法遞延。",N/A,N/A,1.50%,"正卡年費:白金卡NT$1800,鈦金卡NT1800 首年免年費
免年費條件：鈦金卡年度消費滿12萬享次年免年費，白金卡年度消費ㄧ次享次年免年費","$2,000,000",20,0.0100,https://c1.staticflickr.com/1/637/21484498143_083e431ace_b.jpg,https://www.cathaybk.com.tw/cathaybk/
